   
   
sim_type_id
sim_id
tracker_id
sim_position
tracker_position
position_error
sim_obj_static
tracker_obj_static
is_same_status
sim_velocity
tracker_velocity
velocity_error
sim_heading
tracker_heading
heading_error
tracker_heading,-1.64,-2.26
heading_error,0,0
sim_velocity_vector,(0.01_-3.41_0.0),(-1.61_-2.89_0.0)
tracker_velocity_vector,(-0.6_-3.19_0.0),(-2.19_-2.37_0.0)
velocity_heading_error,10.820000000000007,13.620000000000005
sim_box_width,2.39,2.23
tracker_box_width,1.65,1.81
box_width_error,0.31,0.19
sim_box_length,6.27,4.89
tracker_box_length,6.07,4.66
box_length_error,0.03,0.05
sim_box_height,2.1,1.48
tracker_box_height,1.62,1.52
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.tesla.cybertruck,vehicle.lincoln.mkz_2020
sim_id,1704,1705
tracker_id,5,6
sim_position,(368.17_166.88_-0.0),(370.17_176.2_-0.0)
tracker_position,(368.52_167.0_1.05),(370.19_176.17_0.76)
position_error,0.37,0.04
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.41,3.45
tracker_velocity,3.3,3.25
velocity_error,0.03,0.06
sim_heading,-1.63,-2.21
tracker_heading,-1.63,-2.22
heading_error,0,0
sim_velocity_vector,(0.04_-3.41_0.0),(-1.62_-3.05_0.0)
tracker_velocity_vector,(-0.86_-3.19_0.0),(-2.11_-2.47_0.0)
velocity_heading_error,15.760000000000005,12.539999999999992
sim_box_width,2.39,2.23
tracker_box_width,2.13,1.84
box_width_error,0.11,0.17
sim_box_length,6.27,4.89
tracker_box_length,6.08,4.63
box_length_error,0.03,0.05
sim_box_height,2.1,1.48
tracker_box_height,1.73,1.52
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,5
sim_position,(370.0_175.89_-0.0)
tracker_position,(370.02_175.87_0.76)
position_error,0.03
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.43
tracker_velocity,3.29
velocity_error,0.04
sim_heading,-2.18
tracker_heading,-2.2
heading_error,0
sim_velocity_vector,(-1.55_-3.06_0.0)
tracker_velocity_vector,(-2.05_-2.57_0.0)
velocity_heading_error,11.720000000000013
sim_box_width,2.23
tracker_box_width,1.91
box_width_error,0.14
sim_box_length,4.89
